draw,posterior_draw_weight,prob_tertiary,prob_secondary,probability_sum
1,0.00023794486756872159,0.865283201165506,0.13471679883449394,1.0
2,0.0002605224245423798,0.948697389236162,0.051302610763838005,1.0
3,0.00023783861008678828,0.8631633289072751,0.1368366710927249,1.0
4,0.00026379786672710287,0.9332818679056112,0.06671813209438872,0.9999999999999999
5,0.00022959043339247547,0.8791690171994022,0.12083098280059788,1.0
6,0.00024471527211162447,0.876456989826402,0.12354301017359809,1.0
7,0.0002536153686090113,0.9556044710168075,0.04439552898319256,1.0
8,0.0002547644833618963,0.9224198382684173,0.0775801617315827,1.0
9,0.00024135336901665903,0.8629991459276795,0.13700085407232052,1.0
10,0.00022671447440980038,0.8038722818737221,0.1961277181262779,1.0
11,0.00021710216744606892,0.7546377140849498,0.24536228591505016,1.0
12,0.0002931369991754716,0.9811652807729377,0.018834719227062282,1.0
13,0.00022517897962054693,0.7934098881912526,0.2065901118087475,1.0
14,0.0002275422655923194,0.8049941046538074,0.19500589534619267,1.0
15,0.0002905191170306342,0.9802732966640944,0.019726703335905725,1.0
16,0.0002324338018083614,0.8323401641825776,0.16765983581742233,1.0
17,0.00023395874487078697,0.8372829818812917,0.16271701811870842,1.0
18,0.0002453556486295541,0.8790647674986896,0.12093523250131047,1.0
19,0.0002872459482180213,0.9726306908484773,0.027369309151522712,1.0
20,0.0002227588345330628,0.7995211825938152,0.20047881740618465,0.9999999999999999
21,0.00022046971172661302,0.7901973255334969,0.20980267446650303,0.9999999999999999
22,0.00027466892158497434,0.9550485768081649,0.04495142319183507,1.0
23,0.00021068453999909464,0.731096588922967,0.268903411077033,1.0
24,0.0002683412795095998,0.9445947421012986,0.0554052578987014,1.0
25,0.0002475382273888307,0.8845017173799113,0.11549828262008868,1.0
26,0.00028597631057336966,0.9726962138483837,0.027303786151616407,1.0
27,0.00024767451017017653,0.8843107612698404,0.1156892387301596,1.0
28,0.00025787634585489874,0.9705646228558895,0.029435377144110597,1.0
29,0.00023738726175768232,0.8487666640131905,0.15123333598680958,1.0
30,0.0002466423338078532,0.9318848215377841,0.06811517846221592,1.0
31,0.0002474778266659275,0.8879201682363336,0.11207983176366654,1.0
32,0.00026084934353643065,0.9401263310621799,0.059873668937820104,1.0
33,0.00024901179544691585,0.897610515733875,0.10238948426612499,1.0
34,0.0002598725460706076,0.9227275721454733,0.07727242785452666,1.0
35,0.000263662496124957,0.9457331333734289,0.05426686662657105,1.0
36,0.00023868730124342044,0.8643469645457659,0.13565303545423418,1.0
37,0.00024526372934824793,0.8923193910847477,0.10768060891525234,1.0
38,0.0002556240420761575,0.9136018163779773,0.08639818362202262,1.0
39,0.0002640030867242436,0.9344239785660063,0.06557602143399376,1.0
40,0.0002551449968563886,0.9212474736048633,0.07875252639513677,1.0
41,0.00023152741098897607,0.8320130694515401,0.16798693054845992,1.0
42,0.000233772505605628,0.8816895111091312,0.11831048889086876,1.0
43,0.0002682441388138008,0.9410373967193474,0.058962603280652656,1.0
44,0.00023173786316706217,0.8227038367912081,0.177296163208792,1.0
45,0.0002480772031383153,0.9109523467494484,0.08904765325055154,0.9999999999999999
46,0.00025667576740991826,0.9341691659204745,0.06583083407952549,1.0
47,0.0002594267599074997,0.9407143850414552,0.05928561495854476,1.0
48,0.000245662070826678,0.8835992290947846,0.11640077090521538,1.0
49,0.00025112617167225715,0.9073187149763857,0.09268128502361421,0.9999999999999999
50,0.000247210959918201,0.9041415763572672,0.09585842364273281,1.0
51,0.0002470569192042745,0.9101466121459514,0.08985338785404866,1.0
52,0.0002535709845014057,0.9088303023890619,0.0911696976109381,1.0
53,0.0002672261618737438,0.9434506585156173,0.05654934148438275,1.0
54,0.00025466725879797684,0.9269171668352769,0.07308283316472312,1.0
55,0.0002715105476268851,0.957835841028716,0.04216415897128399,1.0
56,0.00024601782330773586,0.8995901530175088,0.10040984698249124,1.0
57,0.00024854219414329615,0.8988012342958821,0.10119876570411801,1.0
58,0.00025577902519512624,0.936130646198381,0.06386935380161893,1.0
59,0.0002223188787222859,0.7804093591066046,0.21959064089339528,0.9999999999999999
60,0.0002716766384060625,0.9570912084513704,0.042908791548629574,1.0
61,0.00022381194173346744,0.8041571984890593,0.19584280151094072,1.0
62,0.00023688783277022436,0.8475421843772939,0.15245781562270622,1.0
63,0.00028826093446563257,0.974867192867579,0.02513280713242107,1.0
64,0.00023369139716179318,0.8336646129356597,0.16633538706434023,1.0
65,0.0002541768104654788,0.9242386742217183,0.07576132577828162,1.0
66,0.000261264561683594,0.9248488829798955,0.07515111702010449,1.0
67,0.0002519581118571412,0.9140568558041776,0.08594314419582245,1.0
68,0.0002202541854671495,0.7727193217757745,0.22728067822422557,1.0
69,0.00026613010477960047,0.9413104659241417,0.05868953407585835,1.0
70,0.000268691417079909,0.943577147449651,0.05642285255034896,1.0
71,0.000292379014156446,0.9766756087708349,0.02332439122916511,1.0
72,0.00023081842212914608,0.8236513299082914,0.17634867009170863,1.0
73,0.00027674536804389333,0.9582458381665818,0.0417541618334182,1.0
74,0.00023458074912157274,0.8371983872225441,0.1628016127774558,1.0
75,0.00025103067115427806,0.9022593259279159,0.09774067407208413,1.0
76,0.00024514194338359774,0.8833427769882446,0.1166572230117554,1.0
