hypothesis,hypothesis_label,exposure_start,exposure_end,linked_case_ids,rationale
secondary,Generation-2 infection from case 1,2026-04-01,2026-05-13,1,"Case 1 is treated as the generation-1 onboard source. Under this hypothesis, the Canadian case is generation 2 and its infection date is inferred by combining the fitted transmission-timing posterior relative to case 1 onset with the fitted incubation posterior for the Canadian onset date."
tertiary,Generation-3 infection from generation-2 Hondius cases,2026-04-17,2026-05-13,2;3;4;5;7;8;12;15;17;18,"All onset-documented Hondius cases other than case 1 are treated as generation 2. Under this hypothesis, the Canadian case is generation 3 and its infection date is inferred by averaging over those candidate generation-2 sources using the fitted transmission-timing posterior and the fitted incubation posterior."
