μ_inc,σ_inc,μ_δ,σ_δ,k,mean_gi_si,sd_gi_si,p_pre_0,p_pre_1,p_pre_2,log_R_1,log_R_2,log_R_3,log_R_4,log_R_5,log_R_6,log_R_7,log_R_8,log_R_9,log_R_10,log_R_11,log_R_12,log_R_13
3.1022888797422477,0.33467721735212635,0.4211580239914291,0.6343925851789967,0.8331850982398139,23.95156031772877,8.12564515839608,0.25338483296046105,0.012539392546555485,6.767958968137155e-5,0.7011218526995442,-0.009837161536327077,0.5730745262007737,0.48732228514341125,0.8869381919157454,0.06933080646034817,-0.2869460361703614,-0.8506978981311693,-0.950803924378415,-0.5209493689281575,-1.1728764648134165,-0.9664612264875232,-0.43750617207945
3.068490578273898,0.27175988893288056,-0.13429485385135154,0.4914093854814106,0.5058678120781801,22.184235631825004,6.198518908849963,0.6076829587885912,0.03906185111844579,7.333490162149121e-5,1.2237976725138595,1.3756438891006402,1.2057420811709436,0.736529028606687,0.752528415361494,0.5063104655761068,0.1432880573600006,-0.6657059924646789,-2.0689089672649454,-1.5582185285709111,-0.9831247172683426,-1.7181758181272788,-2.7406646488939663
3.1035009142562506,0.3385194024835976,0.3387776541815085,0.8250976241202099,0.23870519094057113,23.92820474886873,8.261117882593828,0.34068623403991766,0.052340808312460366,0.002294538318460866,2.264907502520579,1.0874045272365593,0.7446965208237173,0.42611339624126465,0.08491268207697056,-0.2166942615878642,-1.629023962312905,-2.075758574998531,-1.7215086875053767,-1.0152081244380433,-1.6928121667485865,-2.177753561037374,-2.8502557413445757
2.969553003788047,0.3534284016704742,0.23937106475933928,0.6058753120677747,0.5821841061170082,20.978222485091273,7.588884289396412,0.3463907996903824,0.020398478052073944,0.00010947170881503841,-0.5855647377071231,-0.03966198991973169,0.11269217832071776,0.2607848422721487,0.48450086601586917,-0.5338204259854669,-0.4039994601917051,-1.42159947717961,-1.8232725892636845,-2.8571219295386103,-3.3705512424111554,-3.2827051375756073,-3.0475143453594473
3.131407531956355,0.2916680992361812,0.20853947864155067,0.5958956861250572,0.338859188502187,24.110074220406688,7.147124544967682,0.36318446916870606,0.021274727138888276,0.00010517457495274323,1.419854218394975,0.9540723171318684,-0.20479830642670072,-0.7443644663428124,-0.49668721254974346,-0.0637559482696386,-1.3373795561391169,-1.008004201099531,-0.5086519103286158,-0.6690141875210358,-0.32361714450381207,-0.5438021926640313,-1.7237746137952952
3.0686098110926805,0.3638507808470728,0.15210368910931948,0.6194079526442385,1.0785624694045872,23.136222856337508,8.669514973685633,0.40301025823917047,0.03144220369398216,0.00025594821662254356,-0.2594055706725903,0.19594676243855164,0.3186222673708594,0.6502106124520034,0.8008866523932953,0.24103480037136094,-0.20772086240607324,-0.5397411116698114,-1.5638875866102984,-2.3448597278527767,-2.262006689375658,-2.351475012208243,-2.9209106997409457
3.0609057797211143,0.2557483927451318,0.40627562470246475,0.6676592733352791,0.18718197490578775,22.462820992412333,5.773171591602961,0.2714254917147134,0.017590132515061734,0.00015664997981266871,1.9212600410918805,1.301784835567028,1.0413833751539776,0.47300787535116595,0.477452091741553,0.7651761212026706,0.7809999601228825,0.8259858031273939,1.6434219427814223,2.19444774620793,1.771780917669029,1.7187473699859357,2.0695060463998556
3.0695731306996166,0.3030596681795588,-0.024240799209838126,0.49588760904046125,2.244327623092017,22.52036241375004,7.00984528772693,0.5194939929755094,0.024551149137019154,3.3841331131980204e-5,-0.6002153780641184,-0.5587889977587901,-0.2407138404676703,0.2990312597923406,0.6506903567480307,0.2488151775492755,-0.22153154502783373,-0.6607740782442422,-1.4609910302980185,-1.8661575012800058,-1.2525387693210193,-1.3063376036343626,-1.626578873373379
3.0715542931757387,0.37447301495911284,0.39092205647641415,0.696807731735434,0.0921693376517627,23.533388700817,9.006107823589682,0.2873924491021595,0.02295963426185274,0.0003004024764877552,1.5075061418920175,1.2838848329921912,0.8288094474355532,-0.3789115857853673,-0.9541568749025253,-1.139643823352153,-1.3320063088950365,-1.549930338038083,-1.2018113875403182,-1.683282876622576,-2.732633402338557,-2.7102529536764415,-2.246037024233089
3.1501271808495717,0.3736898398952328,0.35622161866383234,0.6054698358093727,0.3028133606783801,25.383071131321525,9.707378348650481,0.2781523305989077,0.012547113496784496,4.980107056844075e-5,1.0791215636139406,0.9018654083153237,0.8537701853174433,0.810948639039544,0.6097577761248844,0.5413404529795645,0.4473146138327796,0.45791354044580745,0.36239918490238743,0.2766699623396859,0.33662091194133537,0.37955345536809815,0.2389171461196269
3.19674479722509,0.4207792661564512,0.16093047713053368,0.5628215409787255,0.5237020748367012,26.877191113694305,11.771560837276388,0.3874638852001743,0.01957069795207938,6.165274917267419e-5,0.46767902721688753,1.0234508379527956,1.7151518624812543,1.4851416210871193,1.4979232635266009,0.9893656735489731,1.075907614747539,0.24916653529128224,-0.6987885744945317,-0.03737572868684175,-0.17228770808475918,-0.5636124102997597,-1.0189507081739377
2.995091799003774,0.2566526533295055,0.035261264215685637,0.6268326933876684,0.2895872050209203,20.691700356160386,5.4263698181229,0.47757010162420216,0.049310600408486255,0.0005833527855694638,0.8642698389934068,0.5848564962069454,0.24015300048775268,0.40563754302796506,0.5867554919547009,0.8148684933237191,0.43684907262051065,0.6947434325607547,1.0945038545343504,0.46976270565963113,0.5076016627799281,0.6445286166475427,0.8851675921721156
3.1617094506610783,0.38849475450538323,0.1625202538623093,0.4856365446042671,0.2810816865855125,25.624173798877734,10.288427465286695,0.36894302020130776,0.008337255766918218,4.2347209232419694e-6,0.634960908951253,0.8799331950303373,1.223077072895709,1.2907209467055298,1.2605587922044008,0.9985428407413491,0.981985971911536,0.612726181009354,0.21771024919082432,0.47873495147775014,0.35461820390187226,0.19407767229120565,-0.056752452686672616
3.147674838080286,0.3823266800333199,0.2628754633553665,0.48842214751610497,0.18131564032018976,25.310066405703896,9.949047307939978,0.29521478111218247,0.004860161370021225,1.8017436285912374e-6,0.19501799364616254,0.3052411154080203,0.4690227281979825,0.4119819764852837,0.49812888993010374,0.30877993106819046,0.24262759806827186,-0.058582541844711095,-0.4292143487518679,-0.3670832824621273,-0.5652035368107873,-0.6860647714540751,-0.8706582924754968
2.986717768315369,0.257221607504742,0.4310612468578222,0.5350117325731681,0.625315741755876,20.918239635154254,5.384768295133926,0.21020668834673087,0.003738444852401797,2.760618127336172e-6,0.17300433629474082,0.6950122944730488,0.10985605143292515,0.7033548059879404,0.3084835708496778,0.19654492765554066,-0.7987574635142334,-1.6854395214540498,0.07112979234564437,-2.4478881819505336,-2.215727050797762,-2.420873554442533,-3.250545751339781
3.0963391409376455,0.41616551083956194,0.032115399792610674,0.6364681278675395,0.4139199827377391,24.14957413674497,10.506825628871951,0.4798784015765088,0.052441366647153584,0.000704502644321364,1.1187971802720944,0.6892422948395147,0.9124814667082501,0.2397269179074366,0.6570237327185281,0.04623364746571301,-0.15675841766080367,-0.16223949540106553,-1.6377211073985452,-0.7439362873701751,-1.328176585262606,-1.4107691371201763,-1.2452294830497928
3.09299763766636,0.4087401623504824,0.06326658825607737,0.6619325412572129,0.45450461801940684,24.026767988965336,10.239967448386288,0.46192762944943816,0.05410328403600957,0.0009134008666094242,1.033508303928721,1.143187152445789,0.9794093252577806,0.6539308366109535,0.7870108040333487,-0.05875439290294682,-0.719410174687529,-0.6909789677230458,-3.108657237405324,-1.2015445278427237,-1.7270305461131088,-1.3913006099645624,-1.2794125375000969
3.0414172094041243,0.3838990804421931,0.24797041894923436,0.6093774010142764,0.3025192809604291,22.783799840379302,9.000903645662657,0.34203182612290933,0.02028277343635369,0.00011258517293150517,0.6282923343551357,-0.18764284420461408,0.1582532739586467,1.2354986056868633,1.1446057349346328,1.7716029412549756,1.0733898353260898,-1.287502797318012,-1.180699970851082,-3.063102838932866,-1.3865238132010562,-1.7167914481504352,-1.838999222453083
2.9847232757860285,0.2781405614423626,0.13290523099875529,0.6829006628010308,0.3639216886865857,20.694075563331708,5.871156398007599,0.42284573596322844,0.04856187515863825,0.0008941697288058742,0.8858394990341163,0.1840908187658793,-0.26319785247351324,-0.8159414776923133,0.21690946067328443,0.02356332942054251,-0.29175616413007677,-0.7200906408683021,-0.9262855457070545,-0.24380804345214613,-2.3755341266087306,-2.1373093481629013,-1.2137730240482247
3.171936544985481,0.34735649847242067,0.23873188860282,0.6065910667522271,0.34234271559724583,25.575707451433605,9.093486303206497,0.3469517974269329,0.020569803335717285,0.00011182885966331756,0.6173488768736126,-0.11007721723207509,-0.021559322025975325,1.3362919671848699,1.094185463132963,0.3584363107124336,-0.04425873114398915,-0.607578874023746,-1.8562181556258963,-3.498985541870761,-2.8944469668649924,-4.153048943367232,-5.979907312045344
3.180285882536102,0.34660197509365415,0.26796436695869136,0.6223916173091741,0.38764888355363264,25.810684432433444,9.147021540757082,0.3334015081463094,0.020812735603327345,0.00013424243647616868,0.6740315085060968,0.5815995109098361,0.03847864047814975,0.4995847008060002,0.810996198730916,0.09518499667845393,-0.49413842287165144,-0.8043360498427345,-1.1115686344483915,-2.1085494666120947,-0.37420582535052316,-0.8667192436016193,-1.3915009617085425
2.999486247898491,0.29932995727622835,0.22115473801414273,0.6175017243500381,0.37931910744306857,21.216178786201205,6.457464355849291,0.36011765490598546,0.023988448801374577,0.00016095320449491962,0.4272406251828992,0.31016842873764255,0.5035310996046928,0.7087610365858987,0.24875515439209767,0.18490469290558217,-0.12158711509598308,-0.5341930647215118,-0.9103086051819368,-0.9903157758282167,-2.0393148266217684,-2.179608298688049,-2.460254665056322
3.2335307486149043,0.3595168412790036,0.15709834391519772,0.7536196171825345,0.24537704736579258,27.219812745629525,10.080733283186818,0.4174355283155964,0.06234430294896212,0.0021027793256561886,0.7766778598051134,0.06517729065810118,-0.08836088232341888,-0.5743084997542971,-0.18612265586636756,-0.5818509471235844,-1.3965371940998181,-1.2916647338292708,-1.716811844892688,-1.8432182157813826,-1.0331756441160578,-1.138866597140119,-1.5094369962088476
2.9644926821044915,0.34111041028096517,0.025855382883173045,0.7206113863782069,0.5005409463812116,20.571949140894024,7.25327133469329,0.4856891066569192,0.0772825520662968,0.002467081490060758,0.5873830987950519,1.7785504867582262,1.4610237372147068,2.0013630845552424,1.1722403326447275,0.8463427071951498,0.49031351878005436,-2.0700025221951828,-2.4479247245418083,-2.9864895019040256,-4.324933007844602,-4.611776169244763,-4.430290393141154
3.0356748829670828,0.3774130678985427,0.3639981159093845,0.4746638472134033,0.29331613158888037,22.715537498748198,8.758141847800353,0.22158400888025814,0.0020290576282174975,3.1732609143566214e-7,0.4507239682216774,0.1476581580498183,0.015580510489949684,0.09539897854585122,0.005360535235615971,-0.10362825941681386,-0.2698247602502398,-0.09452006506304422,-0.12675669826109104,-0.12598931506717803,-0.1248829420130797,-0.19811447557117157,-0.3751556946561764
3.000853175395993,0.27288638653637953,-0.0903242173598668,0.690217809533375,0.34636302250061674,20.77495853307556,5.84242963322489,0.5520582975955698,0.09375941209462609,0.0028307107762700727,0.4735874282912541,0.5694010593480838,0.4190121390299981,0.2553706205991953,0.20203136498842472,0.1926329159461963,0.1597397414974619,-0.0037422106561628143,-0.10418478321972902,-0.3193644895262032,-0.492198659102398,-0.4558745848723462,-0.38761255062418853
